Id,SalePrice
1461,129234.16959853686
1462,154232.9269450687
1463,175388.5990918988
1464,174720.62186617267
1465,191876.59203738696
1466,178407.3191583295
1467,176324.2668407716
1468,169334.43512259144
1469,182559.46959506886
1470,125821.64201747467
1471,198624.72087363986
1472,98147.51577197839
1473,96637.29160425707
1474,151860.28712550062
1475,144145.18877808526
1476,370975.5506961808
1477,274538.3511473986
1478,290980.28129396774
1479,264111.1286727359
1480,492337.5078700691
1481,299655.73773051513
1482,215699.3640340818
1483,161661.3839889478
1484,169018.80594194712
1485,185841.57434008693
1486,188995.94059480232
1487,309839.3505649759
1488,244954.7575046163
1489,187536.8862949051
1490,201650.8696333664
1491,185689.7841845569
1492,90981.01906997495
1493,193493.5613032059
1494,307746.599478271
1495,280512.00310036924
1496,212333.05510044028
1497,161104.16559685612
1498,157598.01135831265
1499,152743.24507653335
1500,137963.18236827978
1501,158759.2590635121
1502,159427.47297383437
1503,301986.15377228026
1504,220668.90551278886
1505,205626.45105415312
1506,187067.3659812031
1507,223762.91407180938
1508,194513.809867815
1509,164816.26447923444
1510,142322.8023318869
1511,141821.07596396265
1512,166300.45129827387
1513,148676.15581920164
1514,173324.92657308924
1515,219114.40878547716
1516,178589.75225613525
1517,158034.1083675766
1518,140723.68271712054
1519,211121.2432152455
1520,129422.7894432186
1521,133934.5017677678
1522,173867.3765037238
1523,101130.70788427927
1524,124080.55428469801
1525,131445.38238015628
1526,128281.56748889602
1527,117273.29954347888
1528,141354.1142622767
1529,144858.22668254178
1530,184826.84668689084
1531,93837.75689404934
1532,102162.15285933056
1533,142421.40168474667
1534,121588.35383453671
1535,146966.7981829442
1536,111416.79247988758
1537,88751.23069109823
1538,186042.28914389806
1539,202102.46996192052
1540,83543.13536046179
1541,156613.57191294723
1542,141365.30269983553
1543,207769.00837959364
1544,78642.88242939912
1545,110932.52259011254
1546,130702.28858243878
1547,137206.1269775026
1548,124298.26165402141
1549,116583.93148930218
1550,139295.6884180511
1551,119956.67718690092
1552,124449.57872235536
1553,144508.26565924982
1554,108923.01311063743
1555,166370.2856821442
1556,72443.11361503082
1557,106951.30754889791
1558,100382.70574837172
1559,98261.85086769608
1560,137728.18394339766
1561,135986.5287306653
1562,120665.35128675823
1563,112454.17049333645
1564,157835.70100899282
1565,147087.76277520251
1566,238953.70282819442
1567,80551.25441506345
1568,209293.1681769551
1569,131816.47886313536
1570,132355.62438328637
1571,125778.97743721373
1572,151605.66817426763
1573,251742.2862553902
1574,116367.39284271325
1575,214742.47135783138
1576,219711.10495106198
1577,186894.52506784996
1578,165120.07938680382
1579,149473.398101276
1580,197226.31124731604
1581,152149.67647401476
1582,130291.36878314498
1583,347840.5902041744
1584,220029.75493452992
1585,136110.8315904473
1586,90738.43201634119
1587,100754.98280250054
1588,143762.81361838971
1589,101871.23577996822
1590,136314.22467716967
1591,93129.69198772605
1592,127895.2952959952
1593,137585.3355519637
1594,101466.54645718978
1595,100879.31802887538
1596,255373.45892895595
1597,181867.5295121642
1598,196891.2069022366
1599,185481.86652828866
1600,190253.58182197314
1601,86142.42479712819
1602,110358.45711270893
1603,92670.73619348506
1604,282512.7543346852
1605,254649.81512256275
1606,170470.01949222543
1607,186430.8585091201
1608,225015.9480299
1609,193719.55092365184
1610,165880.92659924054
1611,159359.36227280047
1612,172998.00345129817
1613,171012.36307839674
1614,121296.64368423946
1615,83792.75475773154
1616,73243.7780222752
1617,101654.31672010341
1618,134381.8476459154
1619,151941.04752075754
1620,160143.3975218743
1621,144041.6596316632
1622,131689.30779170047
1623,312993.9426268542
1624,200430.71342779623
1625,130002.86036207378
1626,175302.6459031145
1627,191060.58099499214
1628,281237.3884132546
1629,184635.64793444678
1630,370857.62348783016
1631,230197.68087590695
1632,226150.47727684703
1633,166697.85969969514
1634,174431.5288588475
1635,177966.54253915203
1636,157088.3207349374
1637,189419.8479075423
1638,214234.82094368528
1639,182404.6897903031
1640,236394.63389601756
1641,174862.54511719657
